date,count,uniques
2026-06-17,7,4
2026-06-18,1,1
2026-06-19,2,2
2026-06-20,0,0
2026-06-21,1,1
2026-06-22,10,3
2026-06-23,6,5
2026-06-24,18,4
2026-06-25,11,10
2026-06-26,13,6
2026-06-27,28,5
2026-06-28,2,2
2026-06-29,9,3
2026-06-30,5,3
2026-07-01,24,3
2026-07-02,6,5
2026-07-03,5,3
2026-07-04,5,3
2026-07-05,2,2
2026-07-06,0,0
2026-07-29,8,4
2026-07-30,21,10
2026-07-31,4,1
2026-08-01,2,2
2026-08-02,3,2
2026-08-03,11,1
2026-08-04,16,4
2026-08-05,11,5
2026-08-06,17,5
2026-08-07,4,3
2026-08-08,0,0
2026-08-09,8,3
2026-08-10,7,5
2026-08-11,12,2
2026-08-12,19,3
2026-08-13,19,8
2026-08-14,11,7
2026-08-15,8,4
2026-08-16,8,3
2026-08-17,28,15
2026-08-18,19,11
2026-08-19,8,6
